product_name,product_price,rating,global_review,past_month_order
Baby Spiral Hanging Stroller and Car Seat Toys for Babies 0-6 Months Newborn Plush Activity Toys for Bed Bassinet Crib Baby Carrier Gifts (Bee),12,4.5,0,2000
"Baby Grooming Kit, Infant Safety Care Set with Hair Brush Comb Nail Clipper Nasal Aspirator Ear Cleaner,Baby Essentials Kit for Newborn Girls Boys (Pink Baby Grooming kit)",26,4.7,9104,300
"Univivi Door Hanging Organizer Nursery Closet Cabinet Baby Storage with 4 Large Pockets and 3 Small PVC Pockets for Cosmetics, Toys and Sundries (Grey)",15,4.7,0,100
"Dahey Headband Holder Bow Hanger for Girls Hair Bows, Macrame Headbands Hair Accessories Hanger Necklace Display with 30 Hooks Wall Hanging Over Door Organizer Boho Nursery Decor for Baby's Room",84,4.6,0,8000
"hiccapop MiniPod Baby Dome for On the Go | Travel Baby Tent for Beach Protects from Sun, Wind, Bugs | Lightweight Portable Baby Bed, Baby Beach Tent for Baby | On the Go Baby Dome for Outside & Inside",16,4.6,7959,3000
"b&h Digital Baby Thermometer, The Infant Baby Bath Floating Toy Safety Temperature Water Thermometer (Classic Duck)",23,4.8,28753,20000
"iPlay, iLearn 10pcs Baby Rattles Toys Set, Infant Grab N Shake Rattle, Sensory Teether, Development Learning Music Toy, Newborn First Birthday Gifts for 0 1 2 3 4 5 6 7 8 9 10 12 Month Babies Boy Girl",9,4.6,29030,800
"NUK Comfy Orthodontic Pacifiers, 0-6 Months, Timeless Collection, 5 Count (Pack of 1)",23,4.7,6114,600
XMWEALTHY Unisex Infant Swaddle Blankets Soft Thick Fleece Knit Baby Girls Boys Stroller Wraps Newborn Baby Accessory Light Pink,21,4.8,0,800
Headband Holder Bows Organizer For Girls Hair Bows Holder Baby Headband Hair Accessories Organizer For Baby Girls Bow Hanger Storage For Girls Hair Bows For Toddler Girls Room Wall Decor (White),189,4.6,1583,3000
"KoolerThings Baby Bassinet, Bedside Sleeper for Baby, Easy Folding Portable Crib with Storage Basket for Newborn, Bedside Bassinet, Comfy Mattress/Travel Bag Included (Bassinet)",19,4.5,1037,100
"mDesign Fabric Hanging Organizer - Over Closet Rod Storage with 7 Shelves and 3 Removable Drawers for Baby Nursery Bedroom Organization - Hold Clothes, Linens, Toys, Accessories - Pink Herringbone",26,4.7,2040,10000
"ULG 1 Pack Over Door Organizer with 5 Large Pockets 10 Mesh Side Pockets, 44 lbs Weight Capacity Hanging Storage Organizer with Clear Window Kids Toys, Shoes, Diapers, Dark Grey, 5 Layers",18,4.6,0,50000
"Baby Car Seat Cover, Infant Carseat Canopy with 3 Layers Windows, Breathable Mesh Peep Window, Kick-Proof Carrier Cover for Boys Girls, Windproof Stroller Cover Shower Gift for Newborn (Elephant)",22,4.8,20023,100
"Aveeno Baby Bathtime Solutions Baby & Me Gift Set with Baby Wash & Shampoo, Calming Baby Bath & Wash, Baby Daily Moisturizing Lotion & Stress Relief Body Wash for Mom, Soap-Free, 4 items",34,4.8,164940,1000
"Pampers Sensitive Water Based Hypoallergenic and Unscented Baby Wipes Combo, 1008 count (Packaging May Vary)",15,4.8,2755,100
"Prohouse 40 PCS Baby Girl Hair Clips, Hair Bows for Girls Toddler Babies Kids Baby, Alligator Clip Hair Accessories",19,4.4,15016,5000
"HOFISH Maternity Nursing Bra for Breastfeeding Pregnancy Wireless Bralette with Pads, Extenders & Clips 3PACK S-XXL",16,3.7,0,5000
"Airplane Footrest Seat Extender for Kids: GEMGO Toddler Airplane Travel Bed, Portable Foot Rest Hammock for Flights - Leg Rest for Baby to Lie Down on Plane Travel Accessories",17,4.4,0,900
"Accmor Hanging Baby Diaper Caddy Organizer, Diaper Stacker, Baby Crib Hanging Classified Storage Bag Organizer for Changing Table, Crib, Playard or Wall & Nursery Organization, White",9,4.4,0,10000
"Glad For Kids Disposable Paper Bibs, 30 Ct - Disposable Bibs - Travel Bibs For Kids, Disposable Kids Bibs With Crumb Catcher",22,4.5,20275,1000
"Rechargeable Baby Nail File, Fansidi Electric Baby Nail Trimmer for Newborn Infant or Toddler Toenail and Fingernail - Girls and Boys Accessory - Extra Replacement Pads Included (Pink)",12,4.7,7294,700
"Dr. Brown’s Folding Baby Bottle Drying Rack for Easy Storage, Dry Nipples, Pacifiers and Other Baby Essentials, BPA-free",8,4.9,0,4000
"6-Piece Silicone Feeding Spoons for First Stage Baby and Infant, Soft-Tip Easy on Gums I Training Spoon | Baby Utensils Feeding Supplies, Dishwasher & Boil-proof",22,4.7,10318,3000
"Simple Joys by Carter's Unisex Babies' Teething Bibs, Pack of 7",84,4.7,3912,600
