product_name,product_price,product_rating,order_info
"4-Pack Silicone Pacifier Clips with One-Piece Beads for Baby Boys and Girls - Flexible and Rust-Free Holders for Teething Relief and Baby Essentials, Safe for Newborns (Grey)","19
","4.8 out of 5 stars
                     









                    17,158",1K+ bought in past month
"Pro Goleem Elephant Security Blanket, Soft Lovey Unisex Lovie Baby Gifts for Newborn Boys and Girls Snuggle Toy Stuffed Animal Grey 16 Inch","9
 ","4.8 out of 5 stars
                     









                    29,772",8K+ bought in past month
"Synrroe Muslin Burp Cloths 4 Pack Large 20"" by 10"" 100% Cotton 6 Layers Extra Absorbent and Soft","13
","4.6 out of 5 stars
                     









                    46,714",1K+ bought in past month
AMACOOL Battery Operated Stroller Fan Flexible Tripod Clip On Fan with 3 Speeds and Rotatable Handheld Personal Fan for Car Seat Crib Bike Treadmill (Black),"9
 ","4.5 out of 5 stars
                     









                    365",2K+ bought in past month
2 Pack Ultra Warm Sherpa Plush Baby Sleeping Swaddle Wrap - Newborn Essentials Must Haves for 0-6 Months - Baby Shower Registry Search Gifts for Boys Girls - Baby Stuff Accessories (Grey and White),"29
","4.6 out of 5 stars
                     









                    357",4K+ bought in past month
"Baby Swings for Infants, BabyBond Bluetooth Infant Swing with Music Speaker with 3 Seat Positions, 5 Point Harness Belt, 5 Speeds and Remote Control - Portable Baby Swing for Indoor and Outdoor","18
","4.6 out of 5 stars
                     









                    17,167",1K+ bought in past month
"Shynerk Baby Car Mirror, Rear Facing Car Seat Mirror Safety for Infant Newborn, Baby Mirror with Wide Rearview, Shatterproof & Easy Assembled Crash Tested",149,"4.8 out of 5 stars
                     









                    3,450",10K+ bought in past month
22 PCS Baby Headbands Soft Nylon Hairbands with Bows Girls Hair Accessories for Newborn Infant Toddler Kids Handmade,"12
","4.8 out of 5 stars
                     









                    2,576",1K+ bought in past month
"BAMBOO QUEEN 8 Pack Super Soft Baby Burp Cloths, Ultra Absorbent Large Newborn Burping Cloth for Boy and Girl, Milk Spit Up Rags, Unisex Grey and White, 16 × 12 Inch","16
","4.8 out of 5 stars
                     









                    24,275",1K+ bought in past month
"BabbleRoo Diaper Bag Backpack - Multi function Waterproof Diaper Bag, Travel Essentials Baby Tote with Changing Pad, Stroller Straps & Pacifier Case - Unisex, Dark Gray","9
 ","4.8 out of 5 stars
                     









                    9,765",1K+ bought in past month
"Fisher-Price Baby Portable Bassinet and Play Space On-the-Go Baby Dome with Developmental Toys and Canopy, Windmill","42
","4.8 out of 5 stars
                     









                    17,884",400+ bought in past month
Frida Baby Medi Frida the Accu-Dose Pacifier Baby Medicine Dispenser,"85
","4.6 out of 5 stars
                     









                    528",1K+ bought in past month
"Lupantte 4-in-1 Baby Play Gym, Activity Gym Ball Pit with Detachable Anti-Slip Thickening Tummy Time Mat with Sensory Toys for Newborn Infant Toddler to Develop Motor&Cognition,Include 40 Balls","12
","4.6 out of 5 stars
                     









                    1,458",1K+ bought in past month
"JoyDow Baby Car Mirror with Night Light, Safety Rear Facing Car Seat Mirror for Infant Newborn, Wide Crystal Clear View 360° Adjustable, Crash Tested & 100% Shatterproof","49
","4.8 out of 5 stars
                     









                    13,823",2K+ bought in past month
Hudson Baby Unisex Baby Plush Animal Face Bathrobe,"20
","4.8 out of 5 stars
                     









                    203",3K+ bought in past month
"The Peanutshell Newborn Clothes & Accessories Set, 23 Piece Baby Girl Layette Gift Set, Fits Newborn to 3 Month","10
","4.6 out of 5 stars
                     









                    580",3K+ bought in past month
"Toy Straps for Baby - 5 Pack Toy Straps for Stroller - Silicone Adjustable Toy Holder for Stroller - Pacifier Holder, Sippy Cup Straps - Baby Toy Holder Straps for Teether Toys, Bottle - BPA Free","59
","4.5 out of 5 stars
                     









                    1,039",6K+ bought in past month
"PandaEar Baby Healthcare and Grooming Kit, Baby Safety Set Baby Comb, Brush, Finger Toothbrush, Nail Clippers, Scissors, Nasal Aspirator, Baby Essentials Nursery Care Kit (Blue)","9
 ","4.6 out of 5 stars
                     









                    2,280",2K+ bought in past month
